k,best_boundaries,val_F1,val_AUC,test_F1,test_AUC,delta_val_F1,selected
1,b*=2009,0.371800,0.832800,0.246800,0.814300,0.000000,False
2,"b1*=2004, b2*=2009",0.384600,0.830200,0.217100,0.810500,0.012800,True
