k,b1,b2,periods,n_p1,n_p2,n_p3,w1,w2,w3,val_F1,val_AUC,test_F1,test_AUC,test_Recall,test_Precision
2,2004,2009,1999-2003 | 2004-2008 | 2009-2011,24499,20547,10881,0.000000,0.000000,1.000000,0.384615,0.830155,0.217105,0.810472,0.229965,0.205607
2,2006,2009,1999-2005 | 2006-2008 | 2009-2011,33052,11994,10881,0.000000,0.300000,0.700000,0.382664,0.831213,0.236782,0.814484,0.358885,0.176672
2,2002,2007,1999-2001 | 2002-2006 | 2007-2011,15431,21749,18747,0.000000,0.000000,1.000000,0.377401,0.831312,0.258065,0.814488,0.362369,0.200385
2,2004,2008,1999-2003 | 2004-2007 | 2008-2011,24499,16690,14738,0.000000,0.200000,0.800000,0.375147,0.833446,0.232168,0.821117,0.289199,0.193925
2,2005,2009,1999-2004 | 2005-2008 | 2009-2011,28847,16199,10881,0.000000,0.000000,1.000000,0.374846,0.833046,0.220913,0.812466,0.261324,0.191327
2,2003,2008,1999-2002 | 2003-2007 | 2008-2011,20082,21107,14738,0.000000,0.000000,1.000000,0.370180,0.828874,0.251163,0.804809,0.282230,0.226257
2,2004,2007,1999-2003 | 2004-2006 | 2007-2011,24499,12681,18747,0.000000,0.000000,1.000000,0.364764,0.834996,0.245714,0.820773,0.299652,0.208232
2,2002,2009,1999-2001 | 2002-2008 | 2009-2011,15431,29615,10881,0.000000,0.000000,1.000000,0.363089,0.830983,0.226695,0.802526,0.372822,0.162861
2,2002,2008,1999-2001 | 2002-2007 | 2008-2011,15431,25758,14738,0.000000,0.000000,1.000000,0.362972,0.822260,0.258250,0.818504,0.313589,0.219512
2,2002,2005,1999-2001 | 2002-2004 | 2005-2011,15431,13416,27080,0.000000,0.000000,1.000000,0.360963,0.819173,0.247849,0.814341,0.250871,0.244898
2,2003,2009,1999-2002 | 2003-2008 | 2009-2011,20082,24964,10881,0.100000,0.000000,0.900000,0.356511,0.827259,0.222222,0.817577,0.261324,0.193299
2,2003,2007,1999-2002 | 2003-2006 | 2007-2011,20082,17098,18747,0.000000,0.000000,1.000000,0.356139,0.824364,0.240896,0.819130,0.449477,0.164541
2,2002,2006,1999-2001 | 2002-2005 | 2006-2011,15431,17621,22875,0.000000,0.000000,1.000000,0.349442,0.819203,0.247539,0.820027,0.306620,0.207547
2,2005,2008,1999-2004 | 2005-2007 | 2008-2011,28847,12342,14738,0.000000,0.300000,0.700000,0.347921,0.826801,0.231884,0.823958,0.334495,0.177449
2,2003,2006,1999-2002 | 2003-2005 | 2006-2011,20082,12970,22875,0.000000,0.000000,1.000000,0.347722,0.814758,0.257556,0.813468,0.341463,0.206751
